Address,Municipality,Sale price,merged
713 North Church Rd,Boylston,0,"713 North Church Rd, Boylston, New York"
420 Old State Rd,Redfield,54999,"420 Old State Rd, Redfield, New York"
4178 State Route 38,Auburn,1,"4178 State Route 38, Auburn, New York"
 Rolling Meadows Way,Camillus (town),52900," Rolling Meadows Way, Camillus (town), New York"
4782 Appaloosa Trl,Clay,170000,"4782 Appaloosa Trl, Clay, New York"
2790-2792 Otisco Vly Rd,Marcellus (town),90000,"2790-2792 Otisco Vly Rd, Marcellus (town), New York"
 Heritage Cir,Solvay,32000," Heritage Cir, Solvay, New York"
68 Hardwicke Dr,Solvay,15000,"68 Hardwicke Dr, Solvay, New York"
 St Rt 34,Hannibal (town),58000," St Rt 34, Hannibal (town), New York"
10 Jennika Ln,Hastings,6000,"10 Jennika Ln, Hastings, New York"
 Oneida River Rd,Schroeppel,80000," Oneida River Rd, Schroeppel, New York"
 Glen Haven Rd,Sempronius,210000," Glen Haven Rd, Sempronius, New York"
16266 Ontario Shores Dr,Sterling,30000,"16266 Ontario Shores Dr, Sterling, New York"
109 Left Field Crse,Manlius (village),90000,"109 Left Field Crse, Manlius (village), New York"
109 Left Field Crse,Manlius (village),90000,"109 Left Field Crse, Manlius (village), New York"
4328 Outlook Dr,Onondaga,700000,"4328 Outlook Dr, Onondaga, New York"
Off St Rt 48,Granby,3000,"Off St Rt 48, Granby, New York"
20 Halstead Dr,Granby,0,"20 Halstead Dr, Granby, New York"
 St Rt 34,Hannibal (town),10000," St Rt 34, Hannibal (town), New York"
 Hogs Back Rd,Hastings,2000," Hogs Back Rd, Hastings, New York"
 Sauter Rd,Hastings,0," Sauter Rd, Hastings, New York"
301 Lee Rd,New Haven,161000,"301 Lee Rd, New Haven, New York"
606 Canning Factory Rd,Richland,0,"606 Canning Factory Rd, Richland, New York"
 River Rd,Aurelius,1," River Rd, Aurelius, New York"
4599 Lebanon Rd,Lebanon,1,"4599 Lebanon Rd, Lebanon, New York"
 Columbus Ave,Camillus (town),0," Columbus Ave, Camillus (town), New York"
 State Route 31 Rr,Elbridge (town),400," State Route 31 Rr, Elbridge (town), New York"
 Lake Rd,Skaneateles (town),0," Lake Rd, Skaneateles (town), New York"
4005 Jordan Rd,Skaneateles (town),0,"4005 Jordan Rd, Skaneateles (town), New York"
501 Montrose Ave,Solvay,185000,"501 Montrose Ave, Solvay, New York"
2629 Pine Grove Rd,Spafford,399900,"2629 Pine Grove Rd, Spafford, New York"
 Co Rt 15,Sandy Creek (town),0," Co Rt 15, Sandy Creek (town), New York"
2663 Dog Corners Rd,Ledyard,1,"2663 Dog Corners Rd, Ledyard, New York"
 Ridge Rd,Sempronius,1," Ridge Rd, Sempronius, New York"
 Andrews Rd,Sterling,225000," Andrews Rd, Sterling, New York"
 South Meadow Drive,Cazenovia (village),1," South Meadow Drive, Cazenovia (village), New York"
109/7542 Center N/Lakeport Rd/Tag,Sullivan,0,"109/7542 Center N/Lakeport Rd/Tag, Sullivan, New York"
 Oswego Rd,Clay,1," Oswego Rd, Clay, New York"
116 Factory Ave,Salina,135000,"116 Factory Ave, Salina, New York"
182 Co Rt 17A,Amboy,280000,"182 Co Rt 17A, Amboy, New York"
522-72 Co Rt 17A,Amboy,0,"522-72 Co Rt 17A, Amboy, New York"
 Co Rt 37,Hastings,3319," Co Rt 37, Hastings, New York"
 Co Rt 25 Rd,Minetto,4091," Co Rt 25 Rd, Minetto, New York"
2865 Main St,Parish (village),547,"2865 Main St, Parish (village), New York"
407 Valley Rd,Richland,5247,"407 Valley Rd, Richland, New York"
 Great Bear Rd,Volney,34730," Great Bear Rd, Volney, New York"
 Great Bear Rd,Volney,28140," Great Bear Rd, Volney, New York"
 Great Bear Rd,Volney,6130," Great Bear Rd, Volney, New York"
315 Kingdom Rd,Volney,5000,"315 Kingdom Rd, Volney, New York"
5764 Mack Rd,Niles,1,"5764 Mack Rd, Niles, New York"
4328 Outlook Dr,Onondaga,1,"4328 Outlook Dr, Onondaga, New York"
121-123 First St,Fulton,20000,"121-123 First St, Fulton, New York"
Off Nine Mile Point Rd,Scriba,0,"Off Nine Mile Point Rd, Scriba, New York"
1494 Griffin Rd,Throop,309000,"1494 Griffin Rd, Throop, New York"
5517 Vista Way,Camillus (town),52900,"5517 Vista Way, Camillus (town), New York"
3158 State Route 90,Ledyard,685000,"3158 State Route 90, Ledyard, New York"
7564 North Street Rd,Sennett,1,"7564 North Street Rd, Sennett, New York"
12595 Ira Station Rd,Victory,108000,"12595 Ira Station Rd, Victory, New York"
689 W Genesee Rd,Lysander,159000,"689 W Genesee Rd, Lysander, New York"
2102 Harkins Ln,Lysander,85000,"2102 Harkins Ln, Lysander, New York"
 Tulip Tree Path,Lysander,75500," Tulip Tree Path, Lysander, New York"
12 Clairborn Ct,Minoa,24000,"12 Clairborn Ct, Minoa, New York"
 James Rd,Hannibal (town),0," James Rd, Hannibal (town), New York"
31 Oneida View Dr,Schroeppel,225000,"31 Oneida View Dr, Schroeppel, New York"
13258 Sanford Rd,Sterling,1,"13258 Sanford Rd, Sterling, New York"
 Pork St,Skaneateles (town),51000," Pork St, Skaneateles (town), New York"
 Hibiscus Harbor Rd,Springport,1," Hibiscus Harbor Rd, Springport, New York"
8218 Emerick Rd,Lysander,0,"8218 Emerick Rd, Lysander, New York"
310-12 Buckingham Ave,Syracuse,30000,"310-12 Buckingham Ave, Syracuse, New York"
1206 Carbon St,Syracuse,18000,"1206 Carbon St, Syracuse, New York"
57 Hong Kong Rd,Albion,15000,"57 Hong Kong Rd, Albion, New York"
61.5 First St,Fulton,500,"61.5 First St, Fulton, New York"
93 Bridge St,Phoenix,4500,"93 Bridge St, Phoenix, New York"
 Capitol St,Auburn,4400," Capitol St, Auburn, New York"
 Brooks Rd,Genoa,135000," Brooks Rd, Genoa, New York"
 Brooks Rd,Genoa,1," Brooks Rd, Genoa, New York"
"9439, 9441 Skaneateles Turnpike",Brookfield,329000,"9439, 9441 Skaneateles Turnpike, Brookfield, New York"
8921 Lake Rd,Lenox,20000,"8921 Lake Rd, Lenox, New York"
 Route 316,Lenox,20000," Route 316, Lenox, New York"
 Old Orchard Ave,Lenox,3500," Old Orchard Ave, Lenox, New York"
 Rolling Meadows Way,Camillus (town),52900," Rolling Meadows Way, Camillus (town), New York"
 Lafayette Rd,LaFayette,112500," Lafayette Rd, LaFayette, New York"
 Silver Street Rd,Fleming,18000," Silver Street Rd, Fleming, New York"
Off St Rt 104,Albion,0,"Off St Rt 104, Albion, New York"
1023 Emery St,Fulton,1000,"1023 Emery St, Fulton, New York"
6 Anna St,Auburn,9200,"6 Anna St, Auburn, New York"
